Task ID,Task Name,Description,Status,Priority,Estimado (dias),Start Date,Due Date,Sprint,Fase,Subtask IDs
1,S0 — Planeamiento y diseno,"META SMART
Especifico: Dejar listo el diseno y el entorno antes de escribir DDL.
Medible: ERD aprobado, diccionario de datos completo, matriz roles x permisos y repo Next.js corriendo con pg.
Alcanzable: equipo de 2, stack Next.js+pg+PostgreSQL.
Relevante: avanza el entregable de tesis.
Temporal: 2 semanas.",to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"2,6,11,15,19,23,27,31,35,39"
2,Levantar requerimientos y casos de uso (27 modulos),,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"3,4,5"
3,Listar modulos y actores,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
4,Casos de uso por modulo,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
5,Reglas de negocio,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
6,Disenar ERD completo,,to do,Urgent,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"7,8,9,10"
7,Entidades y atributos,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
8,Relaciones y cardinalidad,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
9,Capa de identidad,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
10,Revision y aprobacion,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
11,"Diccionario de datos (tabla por tabla, columna por columna)",,to do,Urgent,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"12,13,14"
12,Plantilla del diccionario,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
13,Documentar cada tabla y columna,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
14,Revision,,to do,Urgent,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
15,Definir tipos ENUM y catalogos,,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"16,17,18"
16,Enums de estudiante/academico,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
